Location,TimeFrame,DataFormat,Data
DOLORES RE-4A,2014,Percent,0.57692
DOUGLAS COUNTY RE 1,2010,Percent,0.79
DOUGLAS COUNTY RE 1,2011,Percent,0.79
DOUGLAS COUNTY RE 1,2008,Percent,0.8
DOUGLAS COUNTY RE 1,2009,Percent,0.801
DOUGLAS COUNTY RE 1,2012,Percent,0.80383
DOUGLAS COUNTY RE 1,2013,Percent,0.792
DOUGLAS COUNTY RE 1,2014,Percent,0.78351
DURANGO 9-R,2010,Percent,0.77
DURANGO 9-R,2011,Percent,0.73
DURANGO 9-R,2008,Percent,0.76
DURANGO 9-R,2009,Percent,0.75
DURANGO 9-R,2012,Percent,0.71698
DURANGO 9-R,2013,Percent,0.726
DURANGO 9-R,2014,Percent,0.74845
EADS RE-1,2010,Percent,LNE
EADS RE-1,2011,Percent,LNE
EADS RE-1,2008,Percent,LNE
EADS RE-1,2009,Percent,0.75
EADS RE-1,2012,Percent,N/A
EADS RE-1,2013,Percent,LNE
EADS RE-1,2014,Percent,LNE
EAGLE COUNTY RE 50,2010,Percent,0.69
EAGLE COUNTY RE 50,2011,Percent,0.7
EAGLE COUNTY RE 50,2008,Percent,0.65
EAST GRAND 2,2010,Percent,0.75
EAST OTERO R-1,2010,Percent,0.47
EAST YUMA COUNTY RJ-2,2010,Percent,N/A
EATON RE-2,2010,Percent,0.84
EDISON 54 JT,2010,Percent,LNE
ELBERT 200,2010,Percent,0.69
ELIZABETH C-1,2010,Percent,0.76
ELLICOTT 22,2010,Percent,0.65
ENGLEWOOD 1,2010,Percent,0.53
FALCON 49,2010,Percent,0.73
FLORENCE RE-2,2010,Percent,0.72
FORT MORGAN RE-3,2010,Percent,0.52
FOUNTAIN 8,2010,Percent,0.68
FOWLER R-4J,2010,Percent,0.77
FRENCHMAN RE-3,2010,Percent,LNE
GARFIELD 16,2010,Percent,0.51
GARFIELD RE-2,2010,Percent,0.64
GENOA-HUGO C113,2010,Percent,LNE
GILPIN COUNTY RE-1,2010,Percent,0.74
GRANADA RE-1,2010,Percent,0.82
GREELEY 6,2010,Percent,0.57
GUNNISON WATERSHED RE1J,2010,Percent,0.78
HANOVER 28,2010,Percent,0.5
HARRISON 2,2010,Percent,0.65
HAXTUN RE-2J,2010,Percent,0.62
HAYDEN RE-1,2010,Percent,0.69
HINSDALE COUNTY RE 1,2010,Percent,LNE
HI-PLAINS R-23,2010,Percent,LNE
HOEHNE REORGANIZED 3,2010,Percent,0.75
HOLLY RE-3,2010,Percent,0.33
HOLYOKE RE-1J,2010,Percent,0.69
HUERFANO RE-1,2010,Percent,0.65
IDALIA SCHOOL DISTRICT RJ-3,2010,Percent,LNE
IGNACIO 11 JT,2010,Percent,0.51
JEFFERSON COUNTY R-1,2010,Percent,0.75
JOHNSTOWN-MILLIKEN RE-5J,2010,Percent,0.68
JULESBURG RE-1,2010,Percent,LNE
KARVAL RE-23,2010,Percent,LNE
KEENESBURG RE-3(J),2010,Percent,0.72
KIM REORGANIZED 88,2010,Percent,LNE
KIOWA C-2,2010,Percent,0.52
KIT CARSON R-1,2010,Percent,LNE
LA VETA RE-2,2010,Percent,0.75
LAKE COUNTY R-1,2010,Percent,0.63
LAMAR RE-2,2010,Percent,0.65
LAS ANIMAS RE-1,2010,Percent,0.85
LEWIS-PALMER 38,2010,Percent,0.83
LIBERTY SCHOOL DISTRICT J-4,2010,Percent,LNE
LIMON RE-4J,2010,Percent,0.58
LITTLETON 6,2010,Percent,0.8
LONE STAR 101,2010,Percent,LNE
MANCOS RE-6,2010,Percent,0.75
MANITOU SPRINGS 14,2010,Percent,0.82
MANZANOLA 3J,2010,Percent,LNE
MAPLETON 1,2010,Percent,0.41
MC CLAVE RE-2,2010,Percent,LNE
MEEKER RE1,2010,Percent,0.65
MESA COUNTY VALLEY 51,2010,Percent,0.64
MIAMI/YODER 60 JT,2010,Percent,0.58
MOFFAT 2,2010,Percent,LNE
MOFFAT COUNTY RE:NO 1,2010,Percent,0.53
MONTE VISTA C-8,2010,Percent,0.66
MONTEZUMA-CORTEZ RE-1,2010,Percent,0.5
MONTROSE COUNTY RE-1J,2010,Percent,0.6
MOUNTAIN VALLEY RE 1,2010,Percent,LNE
NORTH CONEJOS RE-1J,2010,Percent,0.85
NORTH PARK R-1,2010,Percent,LNE
NORTHGLENN-THORNTON 12,2010,Percent,0.57
NORWOOD R-2J,2010,Percent,0.57
OTIS R-3,2010,Percent,LNE
OURAY R-1,2010,Percent,0.88
PARK (ESTES PARK) R-3,2010,Percent,0.64
PARK COUNTY RE-2,2010,Percent,0.74
PAWNEE RE-12,2010,Percent,LNE
PEYTON 23 JT,2010,Percent,0.81
PLAINVIEW RE-2,2010,Percent,LNE
PLATEAU RE-5,2010,Percent,LNE
PLATEAU VALLEY 50,2010,Percent,0.54
PLATTE CANYON 1,2010,Percent,0.79
PLATTE VALLEY RE-3,2010,Percent,LNE
PLATTE VALLEY RE-7,2010,Percent,0.7
POUDRE R-1,2010,Percent,0.78
PRAIRIE RE-11,2010,Percent,LNE
PRIMERO REORGANIZED 2,2010,Percent,LNE
PRITCHETT RE-3,2010,Percent,LNE
PUEBLO CITY 60,2010,Percent,0.64
PUEBLO COUNTY RURAL 70,2010,Percent,0.67
RANGELY RE-4,2010,Percent,0.55
RIDGWAY R-2,2010,Percent,0.78
ROARING FORK RE-1,2010,Percent,0.63
ROCKY FORD R-2,2010,Percent,0.65
SALIDA R-32,2010,Percent,0.74
SANFORD 6J,2010,Percent,0.85
SANGRE DE CRISTO RE-22J,2010,Percent,0.74
SARGENT RE-33J,2010,Percent,0.78
SHERIDAN 2,2010,Percent,0.39
SIERRA GRANDE R-30,2010,Percent,0.55
SILVERTON 1,2010,Percent,LNE
SOUTH CONEJOS RE-10,2010,Percent,0.56
SOUTH ROUTT RE 3,2010,Percent,0.6
SPRINGFIELD RE-4,2010,Percent,0.61
ST VRAIN VALLEY RE 1J,2010,Percent,0.67
STEAMBOAT SPRINGS RE-2,2010,Percent,0.81
STRASBURG 31J,2010,Percent,0.68
STRATTON R-4,2010,Percent,LNE
EAST GRAND 2,2011,Percent,0.78
EAST OTERO R-1,2011,Percent,0.55
EAST YUMA COUNTY RJ-2,2011,Percent,N/A
EATON RE-2,2011,Percent,0.76
EDISON 54 JT,2011,Percent,LNE
ELBERT 200,2011,Percent,0.94
ELIZABETH C-1,2011,Percent,0.77
ELLICOTT 22,2011,Percent,0.44
ENGLEWOOD 1,2011,Percent,0.6
FALCON 49,2011,Percent,0.71
FLORENCE RE-2,2011,Percent,0.66
FORT MORGAN RE-3,2011,Percent,0.54
FOUNTAIN 8,2011,Percent,0.68
FOWLER R-4J,2011,Percent,0.82
FRENCHMAN RE-3,2011,Percent,LNE
GARFIELD 16,2011,Percent,0.52
GARFIELD RE-2,2011,Percent,0.62
GENOA-HUGO C113,2011,Percent,LNE
GILPIN COUNTY RE-1,2011,Percent,0.77
GRANADA RE-1,2011,Percent,0.71
GREELEY 6,2011,Percent,0.56
GUNNISON WATERSHED RE1J,2011,Percent,0.75
HANOVER 28,2011,Percent,0.5
HARRISON 2,2011,Percent,0.63
HAXTUN RE-2J,2011,Percent,0.59
HAYDEN RE-1,2011,Percent,0.67
HINSDALE COUNTY RE 1,2011,Percent,LNE
HI-PLAINS R-23,2011,Percent,LNE
HOEHNE REORGANIZED 3,2011,Percent,0.73
HOLLY RE-3,2011,Percent,0.72
HOLYOKE RE-1J,2011,Percent,0.71
HUERFANO RE-1,2011,Percent,0.42
IDALIA SCHOOL DISTRICT RJ-3,2011,Percent,LNE
IGNACIO 11 JT,2011,Percent,0.43
JEFFERSON COUNTY R-1,2011,Percent,0.73
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,0.72
JULESBURG RE-1,2011,Percent,LNE
KARVAL RE-23,2011,Percent,LNE
KEENESBURG RE-3(J),2011,Percent,0.66
KIM REORGANIZED 88,2011,Percent,LNE
KIOWA C-2,2011,Percent,0.64
KIT CARSON R-1,2011,Percent,LNE
LA VETA RE-2,2011,Percent,LNE
LAKE COUNTY R-1,2011,Percent,0.44
LAMAR RE-2,2011,Percent,0.55
LAS ANIMAS RE-1,2011,Percent,0.79
LEWIS-PALMER 38,2011,Percent,0.87
LIBERTY SCHOOL DISTRICT J-4,2011,Percent,LNE
LIMON RE-4J,2011,Percent,0.81
LITTLETON 6,2011,Percent,0.8
LONE STAR 101,2011,Percent,LNE
MANCOS RE-6,2011,Percent,0.6
MANITOU SPRINGS 14,2011,Percent,0.76
MANZANOLA 3J,2011,Percent,LNE
MAPLETON 1,2011,Percent,0.41
MC CLAVE RE-2,2011,Percent,0.5
MEEKER RE1,2011,Percent,0.76
MESA COUNTY VALLEY 51,2011,Percent,0.62
MIAMI/YODER 60 JT,2011,Percent,0.79
MOFFAT 2,2011,Percent,LNE
MOFFAT COUNTY RE:NO 1,2011,Percent,0.55
MONTE VISTA C-8,2011,Percent,0.54
MONTEZUMA-CORTEZ RE-1,2011,Percent,0.49
MONTROSE COUNTY RE-1J,2011,Percent,0.59
MOUNTAIN VALLEY RE 1,2011,Percent,LNE
NORTH CONEJOS RE-1J,2011,Percent,0.78
NORTH PARK R-1,2011,Percent,LNE
NORTHGLENN-THORNTON 12,2011,Percent,0.6
NORWOOD R-2J,2011,Percent,0.63
OTIS R-3,2011,Percent,0.53
OURAY R-1,2011,Percent,0.75
PARK (ESTES PARK) R-3,2011,Percent,0.64
PARK COUNTY RE-2,2011,Percent,0.61
PAWNEE RE-12,2011,Percent,LNE
PEYTON 23 JT,2011,Percent,0.64
PLAINVIEW RE-2,2011,Percent,LNE
PLATEAU RE-5,2011,Percent,LNE
PLATEAU VALLEY 50,2011,Percent,0.55
PLATTE CANYON 1,2011,Percent,0.69
PLATTE VALLEY RE-3,2011,Percent,LNE
PLATTE VALLEY RE-7,2011,Percent,0.63
POUDRE R-1,2011,Percent,0.78
PRAIRIE RE-11,2011,Percent,LNE
PRIMERO REORGANIZED 2,2011,Percent,0.71
PRITCHETT RE-3,2011,Percent,LNE
PUEBLO CITY 60,2011,Percent,0.63
PUEBLO COUNTY RURAL 70,2011,Percent,0.71
RANGELY RE-4,2011,Percent,0.45
RIDGWAY R-2,2011,Percent,0.85
ROARING FORK RE-1,2011,Percent,0.62
ROCKY FORD R-2,2011,Percent,0.46
SALIDA R-32,2011,Percent,0.73
SANFORD 6J,2011,Percent,0.59
SANGRE DE CRISTO RE-22J,2011,Percent,0.5
SARGENT RE-33J,2011,Percent,0.63
SHERIDAN 2,2011,Percent,0.33
SIERRA GRANDE R-30,2011,Percent,LNE
SILVERTON 1,2011,Percent,LNE
SOUTH CONEJOS RE-10,2011,Percent,0.63
SOUTH ROUTT RE 3,2011,Percent,0.73
SPRINGFIELD RE-4,2011,Percent,0.85
ST VRAIN VALLEY RE 1J,2011,Percent,0.67
STEAMBOAT SPRINGS RE-2,2011,Percent,0.84
STRASBURG 31J,2011,Percent,0.51
STRATTON R-4,2011,Percent,0.53
EAST GRAND 2,2008,Percent,0.69
EAST OTERO R-1,2008,Percent,0.53
EAST YUMA COUNTY RJ-2,2008,Percent,N/A
EATON RE-2,2008,Percent,0.79
